number,request-prompt
001,Replace the 'Top Stories' and 'Trending' article cards in the main section with an embedded live weather radar map and direct links to hourly meteorological tables.
002,"Increase the size of the video play icons and text on news cards, and auto-play the primary 'Top Stories' video at the top of the feed instead of showing static map graphics."
003,"Hide all non-weather sections, including 'Sponsored Content', 'Product Reviews & Deals', and 'Lonely Planet', leaving only the search bar and the main current conditions display."
004,"Add a persistent 'Discover' carousel under the main temperature display that suggests local lifestyle and seasonal tips, so I can browse articles without leaving the main page."
005,Completely remove the 'Sponsored Content' (Taboola feed) container from the bottom of the page and eliminate all advertisement banners.
006,"Move the 'Product Reviews & Deals' list and the 'Sponsored Content' section further up the page, perhaps alongside the primary weather forecast, to make those articles easier to find."
007,"Remove the 'Entretenimento' column, the horoscope widget, and all celebrity gossip articles from the page so I can focus entirely on serious journalism and hard news."
008,"Move the 'Entretenimento' and 'Receitas' sections to the top of the homepage, and hide the main politics headline ('Fim da taxa das blusinhas') and any tragic news reports."
009,Disable the auto-playing video frame in the 'Vídeos em alta hoje' section and replace any sliding multimedia carousels with static text headline lists.
010,"Enlarge the 'Vídeos em alta hoje' player section and place it at the very top of the layout, making video clips and live TV features the primary focus of the page."
011,"Move the 'Esporte' column and the 'Agenda' sports match widget to the top of the page, and add a prominent dropdown to quickly filter all news by my favorite team."
012,Completely hide the 'Esporte' column and the 'Agenda' sports match score widget from the homepage layout to free up space for other content.
013,Add a dedicated 'Shorts only' option to the top chip-bar (next to 'All' and 'Unwatched') and move the 'Shorts' horizontal grid shelf to the very top of the search page.
014,"Completely hide the horizontal 'Shorts' grid shelves (such as 'Cute Cat Compilations' and 'Funny Cat Videos') from the search results feed so I only see standard, long-form videos."
015,"Add a 'Discover New Channels' filter button next to the existing 'Filters' button in the search header to actively promote and recommend smaller, new creators I haven't watched."
016,"Add a visual tag (like 'Subscribed') on search result cards from channels I already follow, and provide a 'Subscribed Only' filter checkbox in the 'Filters' dropdown menu."
017,"Make the 'Sign in' button in the top right header and the 'Sign in to like videos...' promo box in the left sidebar much more prominent (e.g. with a bright, solid call-to-action color) to easily restore my personalized settings and history."
