category,sub_category,defect,sample_defect,user_modification_goal,user_modification_request
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Object (screen) keep blinking/ flashing/ flickering,Reduce visual distraction and motion,Stop this element from blinking or flickering; make it display steadily unless I explicitly interact with it.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Unnecessary animation on object (screen),Remove non-essential animation,Disable this decorative animation and show the same element in a static state.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Incorrect/ unnecessary use of object icon,Make icons match their purpose,Replace the confusing icon with a clearer symbol or text label that matches what the control does.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Incorrect/ inconsistent object design,Standardize the component's design,"Restyle this element so its shape, spacing, and visual treatment match similar elements on the page."
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Inappropriate use of object size,Resize elements for my use,Change this element's size so it is easier to read and use without dominating the page.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Missing object,Add a missing interface element,"Add the missing control, label, summary, or shortcut that I need to complete this task from this view."
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Unwanted object,Remove unwanted interface clutter,Hide this element because it is not useful to me for this task.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Incorrect/ inconsistent use of object color,Use colors that fit my preferences,"Change this element's color to be clearer, calmer, or more consistent with the rest of the page."
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Inappropriate use of color contrast between object and background,Improve contrast for readability,Increase the contrast between this element and its background so I can see it comfortably.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Inappropriate object (screen) resolution,Fit the interface to my screen,Adjust the page or component resolution/scaling so the content is sharp and fits my current display.
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Object (screen) is truncated/ chopped/ overlapped/ blocked/ cropped,Prevent important content from being cut off,"Resize or reposition this element so none of its text, controls, or content is cropped or overlapped."
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Object (screen) not persistently display,Keep important elements visible,Make this element stay visible while I need it instead of disappearing or being replaced unexpectedly.
